n,x'
0,0.085439906
1000,1.4953637
2000,3.1639986
3000,2.7688801
4000,4.5117164
5000,4.5767484
6000,6.2632957
7000,5.2522526
8000,7.053889
9000,6.3294606
10000,8.751753
11000,8.012896
12000,9.135011
13000,11.07335
14000,10.189673
15000,10.86257
16000,11.446724
17000,12.274997
18000,12.78304
19000,13.738367
20000,15.704884
21000,15.90394
22000,18.633425
23000,16.775017
24000,18.753527
25000,18.437838
26000,20.67924
27000,20.168747
28000,22.344189
29000,21.139841
30000,22.145077
31000,22.137774
32000,24.252123
33000,24.756968
34000,26.763844
35000,26.346676
36000,27.448526
37000,27.598804
38000,29.750502
39000,28.879322
40000,30.050669
41000,31.286955
42000,30.729229
43000,32.15858
44000,34.076904
45000,32.596764
46000,33.14948
47000,34.242363
48000,36.887238
49000,44.46657
50000,47.035603
